type;n_type;n_index;n_origin;geometry;og_line_id
node;3;1944;[1];POINT Z (410111.65480267577 5081047.510493433 0);676
node;3;1945;[1];POINT Z (410111.8117611771 5081047.498892153 0);677
node;3;1948;[2 1];POINT Z (410113.0890181398 5081047.358675074 0);678
node;3;1949;[1];POINT Z (410113.4168545905 5081047.312475899 0);679
node;3;1960;[1];POINT Z (410110.3249282743 5081044.505738385 0);683
node;3;1965;[2 1];POINT Z (410111.0594963006 5081043.946156756 0);684
node;3;1966;[2 1];POINT Z (410111.1829958836 5081043.823008356 0);685
node;3;1972;[2 1];POINT Z (410104.73368386866 5081041.082859172 0);688
node;3;1979;[1 2];POINT Z (410122.4566614114 5081043.213762006 0);691
node;3;1986;[1];POINT Z (410123.7728324614 5081042.805461822 0);692
node;3;1995;[1 2];POINT Z (410125.8373332832 5081042.59323391 0);694
node;3;1998;[2 1];POINT Z (410137.2706005519 5081022.356159679 0);696
node;3;1999;[1];POINT Z (410137.920785442 5081021.376585968 0);697
node;3;2002;[2 1];POINT Z (410139.49786169024 5081018.95195006 0);698
node;3;2033;[2 1];POINT Z (410104.5846913459 5081043.427706853 0);707
node;3;2041;[2 1];POINT Z (410105.4010367195 5081042.944886019 0);709
node;3;2043;[2 1];POINT Z (410105.7614128741 5081042.708166665 0);710
node;3;2051;[1 2];POINT Z (410105.54122092866 5081042.526139043 0);714
node;3;2058;[1];POINT Z (410110.3661632979 5081044.50495177 0);719
node;3;2065;[1 2];POINT Z (410110.114106012 5081044.842433232 0);720
node;3;2069;[1 2];POINT Z (410110.11086551135 5081043.808723429 0);721
node;3;2072;[2 1];POINT Z (410110.1215427291 5081043.436924172 0);722
node;3;2088;[1 2];POINT Z (410108.74690974184 5081044.714606917 0);730
node;3;2109;[2 1];POINT Z (410116.8619351276 5081048.350376274 0);738
node;3;2114;[1];POINT Z (410117.4387517306 5081047.816987103 0);739
node;3;2122;[1 2];POINT Z (410118.17019718763 5081047.632303201 0);740
node;3;2129;[2 1];POINT Z (410105.01756525645 5081040.341377442 0);742
node;3;2163;[1];POINT Z (410117.82054519193 5081051.308789265 0);754
node;3;2165;[1];POINT Z (410117.9335864163 5081051.222101053 0);755
node;3;2166;[2 1];POINT Z (410118.04177029245 5081051.153922673 0);756
node;3;2175;[2 1];POINT Z (410119.6070673021 5081049.961815212 0);758
node;3;2180;[1];POINT Z (410120.4019713194 5081049.266584939 0);759
node;3;2184;[2 1];POINT Z (410120.76705424685 5081048.866386533 0);760
node;3;2186;[1];POINT Z (410120.88274201035 5081048.702133317 0);761
node;3;2190;[2 1];POINT Z (410121.43254112813 5081048.084292761 0);762
node;3;2192;[1];POINT Z (410121.6399913364 5081047.849695438 0);763
node;3;2198;[2 1];POINT Z (410122.20262096846 5081047.241611487 0);764
node;3;2200;[2 1];POINT Z (410122.2493928894 5081047.18653165 0);765
node;3;2202;[1];POINT Z (410122.3760187211 5081047.050024621 0);766
node;3;2203;[1];POINT Z (410122.4492658569 5081046.968638916 0);767
node;3;2216;[1];POINT Z (410113.50146102626 5081055.871392319 0);772
node;3;2217;[2 1];POINT Z (410113.56950246374 5081055.793630676 0);773
node;3;2219;[2 1];POINT Z (410113.8715753192 5081055.520203421 0);774
node;3;2234;[1];POINT Z (410117.0590562067 5081054.065864165 0);776
node;3;2241;[1 2];POINT Z (410110.0896689271 5081047.095869375 0);778
node;3;2247;[1];POINT Z (410111.5930781743 5081047.597976397 0);782
node;3;2253;[2 1];POINT Z (410111.6017683814 5081048.212477974 0);786
